publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p417352,earthquake,2024-06-03T10:05:52.056Z,2024-06-03T10:26:20.067Z,174.7549744,-41.05215836,4.135372554,20.13214874,MLv,,LOCSAT,confirmed,manual,iasp91,48,35,25,0.09236413985,58.92044067,0.5707674685,0.1775490383
2024p363447,earthquake,2024-05-14T11:24:58.886Z,2024-06-13T23:22:03.685Z,176.3761902,-39.03942108,4.484189014,39.95139694,MLv,,LOCSAT,confirmed,manual,iasp91,42,28,73,0.1552048326,29.28916168,0.4567991568,0.1844540797
2024p337659,earthquake,2024-05-04T22:24:50.083Z,2024-05-31T02:30:22.652Z,175.7839203,-40.49711609,4.390287745,21.61468697,MLv,,LOCSAT,confirmed,manual,iasp91,56,40,120,0.1059815511,34.33319092,0.5057504808,0.1851946529
2024p336893,earthquake,2024-05-04T15:36:50.609Z,2024-05-31T02:23:59.899Z,173.5613861,-42.19810867,4.103796829,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,40,29,63,0.1954471469,84.29181671,0.6701037774,0.251987266
2024p317184,earthquake,2024-04-27T08:36:05.591Z,2024-05-26T23:52:23.454Z,174.8436584,-40.84135056,4.167182578,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,49,38,110,0.05378254503,59.30703735,0.6421262277,0.1628464477
2024p305175,earthquake,2024-04-22T21:57:41.123Z,2024-05-22T01:39:43.423Z,176.359375,-39.04441071,4.573983535,38.83918762,MLv,,LOCSAT,confirmed,manual,iasp91,44,30,119,0.1593624949,49.35726929,0.485607041,0.2112125876
2024p260656,earthquake,2024-04-06T10:37:57.064Z,2024-04-08T06:30:26.330Z,171.1300507,-42.38438034,5.060193701,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,37,27,45,0.3542818427,179.0675182,0.3751294896,0.2204234401
2024p202925,earthquake,2024-03-16T01:58:56.021Z,2024-04-09T19:36:53.986Z,174.3495483,-41.03561783,4.591664815,27.66538429,MLv,,LOCSAT,confirmed,manual,iasp91,49,40,114,0.1831406951,54.52105713,0.2762533308,0.1582933458
2024p158594,earthquake,2024-02-28T16:18:55.972Z,2024-03-18T01:46:06.035Z,175.0758667,-41.06570053,4.670611148,23.29656792,MLv,,LOCSAT,confirmed,manual,iasp91,56,34,95,0.04206199199,78.57907104,0.5876713778,0.1990836817
2024p117596,earthquake,2024-02-13T12:15:28.968Z,2024-03-08T01:26:31.924Z,172.1582489,-41.5870285,4.043938007,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,43,32,69,0.247841686,130.7041378,0.523063164,0.1952738992
2024p063795,earthquake,2024-01-24T14:30:11.910Z,2024-02-20T22:07:59.558Z,176.3591614,-40.29187775,4.02723363,9.991544724,MLv,,LOCSAT,confirmed,manual,iasp91,38,23,91,0.1474388838,59.06704712,0.5860618194,0.1964313297
2024p063773,earthquake,2024-01-24T14:18:38.005Z,2024-02-20T23:13:40.855Z,176.3731995,-40.29014969,5.211085861,10.5198679,MLv,,LOCSAT,confirmed,manual,iasp91,38,25,54,0.1582523137,61.51146698,0.5357282651,0.214304049
2024p051849,earthquake,2024-01-20T04:25:34.810Z,2024-02-18T21:14:50.867Z,174.4641113,-41.49540329,4.72016995,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,68,45,85,0.2929208279,119.0991287,0.8239155511,0.1754060153
2024p033541,earthquake,2024-01-13T09:50:58.876Z,2024-02-11T22:19:22.187Z,173.1325989,-42.53111649,4.02258181,7.14800787,MLv,,LOCSAT,confirmed,manual,iasp91,31,21,73,0.1058308482,83.9815979,0.2300866343,0.2479773345
2023p963958,earthquake,2023-12-23T15:56:58.824Z,2024-01-18T23:16:45.150Z,176.8484192,-40.57551956,4.513958294,18.78780746,MLv,,LOCSAT,confirmed,manual,iasp91,44,31,118,0.3072369397,101.3603592,0.5688997906,0.2014083799
2023p925012,earthquake,2023-12-09T06:06:29.837Z,2024-01-08T17:56:58.948Z,178.8097534,-38.52208328,4.108320109,26.20364761,MLv,,LOCSAT,confirmed,manual,iasp91,34,23,77,0.4265374839,169.6256714,1.017624737,0.1681446778
2023p923930,earthquake,2023-12-08T20:30:15.835Z,2024-01-07T19:21:32.356Z,172.8433685,-42.81926346,4.384372178,12.19719791,MLv,,LOCSAT,confirmed,manual,iasp91,41,36,22,0.122198455,47.42487335,0.5714128414,0.1158812109
2023p853474,earthquake,2023-11-12T18:51:22.796Z,2023-12-05T22:34:03.106Z,175.9994659,-40.58614349,4.148880364,7.978666782,MLv,,LOCSAT,confirmed,manual,iasp91,33,21,78,0.0381623432,48.79681396,0.6497056917,0.1913010884
2023p799789,earthquake,2023-10-23T22:07:46.563Z,2023-10-23T22:19:48.123Z,174.1670837,-41.05862045,4.047600622,32.73892593,MLv,,LOCSAT,confirmed,manual,iasp91,38,30,35,0.1726043522,52.81658936,0.4233438745,0.1824524993
2023p798327,earthquake,2023-10-23T09:09:04.193Z,2023-11-08T22:57:44.304Z,171.7832947,-42.73765182,5.141187882,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,31,20,112,0.2502634227,53.42201954,0.4975290588,0
2023p769107,earthquake,2023-10-12T13:40:23.080Z,2023-10-16T22:37:03.810Z,178.6292267,-38.87612152,4.496701825,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,33,24,108,0.5123382807,244.5860443,0.4927231586,0.1787614239
2023p728259,earthquake,2023-09-27T10:56:41.659Z,2023-10-08T23:37:04.838Z,172.7357025,-40.763237,4.711538979,5.85502243,MLv,,LOCSAT,confirmed,manual,iasp91,53,44,91,0.1077767909,87.09614563,0.5102822442,0.1548649286
2023p591188,earthquake,2023-08-07T17:45:20.962Z,2023-08-22T03:39:56.781Z,172.7863922,-42.13950348,4.437496025,37.46752548,MLv,,LOCSAT,confirmed,manual,iasp91,45,29,86,0.3542091548,51.00467682,0.3202409685,0.2430461666
2023p568770,earthquake,2023-07-30T10:41:09.333Z,2023-07-30T10:45:33.097Z,174.9020844,-40.98985672,4.606284432,39.5953064,MLv,,LOCSAT,confirmed,manual,iasp91,33,26,42,0.1084742844,61.91760254,0.3659001181,0.1542411364
2023p428379,earthquake,2023-06-08T12:00:29.552Z,2023-06-21T02:46:21.739Z,176.7301788,-40.3649025,4.768822694,18.5647068,MLv,,LOCSAT,confirmed,manual,iasp91,50,33,114,0.1223271266,195.4692478,0.6453116827,0.1788866463
2023p427805,earthquake,2023-06-08T06:54:43.205Z,2023-06-21T01:49:29.267Z,176.7238007,-40.34764099,4.72940991,14.8246727,MLv,,LOCSAT,confirmed,manual,iasp91,46,29,112,0.1057521552,193.4651146,0.5049488003,0.1853048578
2023p376910,earthquake,2023-05-20T10:57:48.910Z,2023-06-08T20:53:55.670Z,173.7602997,-41.43432236,4.083965553,30.48737335,MLv,,LOCSAT,confirmed,manual,iasp91,42,29,48,0.1090137959,57.29911566,0.4672801028,0.1642982154
2023p367197,earthquake,2023-05-16T20:42:46.240Z,2023-06-07T21:47:42.933Z,171.8104706,-42.59585953,4.40354389,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,34,25,60,0.2992705107,76.2593689,0.4821670322,0.2161421595
2023p367190,earthquake,2023-05-16T20:39:16.907Z,2023-06-07T21:38:46.931Z,171.8169708,-42.5863266,4.534175304,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,40,31,79,0.3077815473,67.40881348,0.5025526948,0.2098800629
2023p345696,earthquake,2023-05-08T21:47:18.958Z,2023-06-01T22:27:43.874Z,172.069458,-42.94156647,4.073983755,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,16,42,0.3555176258,72.67739248,0.2098670561,0.2249954613
2023p311490,earthquake,2023-04-26T06:01:56.438Z,2023-04-26T06:04:44.248Z,176.5326538,-40.25870132,4.169381199,14.13950348,M,,LOCSAT,confirmed,manual,iasp91,25,16,81,0.0788269043,96.73537445,0.5136007983,0
2023p310946,earthquake,2023-04-26T01:12:24.166Z,2023-04-26T01:15:01.016Z,176.6371307,-40.28272629,4.16070754,17.74323845,MLv,,LOCSAT,confirmed,manual,iasp91,36,29,77,0.01640722342,173.2765274,0.4748233973,0.1906435889
2023p310638,earthquake,2023-04-25T22:28:11.301Z,2023-04-26T02:44:48.866Z,176.5569763,-40.27877808,4.311904002,14.73095417,MLv,,LOCSAT,confirmed,manual,iasp91,29,22,86,0.06110334396,120.7515564,0.2672427466,0.1868975693
